Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),171,0.311,0.160,0.140,0.152,0.081,0.062,0.025,0.032,0.037,0.067,0.172,0.282,0.285,0.194,0.766,0.078,0.009,0.092,0.000,0.026,0.029,0.057,0.193,0.807,0.097,0.140
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),97,0.348,0.146,0.133,0.147,0.072,0.059,0.027,0.031,0.037,0.064,0.164,0.262,0.301,0.209,0.768,0.077,0.007,0.097,0.000,0.021,0.030,0.047,0.173,0.827,0.087,0.124
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),590,0.307,0.152,0.133,0.153,0.080,0.067,0.029,0.037,0.042,0.067,0.177,0.278,0.283,0.195,0.762,0.083,0.008,0.095,0.000,0.024,0.028,0.054,0.219,0.781,0.104,0.163
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),37,0.286,0.142,0.146,0.152,0.097,0.073,0.041,0.038,0.025,0.109,0.231,0.275,0.237,0.148,0.763,0.098,0.008,0.070,0.000,0.030,0.031,0.065,0.279,0.721,0.128,0.227
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),53,0.377,0.174,0.124,0.135,0.063,0.054,0.022,0.021,0.030,0.060,0.158,0.291,0.272,0.219,0.713,0.109,0.012,0.122,0.000,0.015,0.029,0.038,0.188,0.812,0.093,0.137
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),216,0.315,0.151,0.132,0.150,0.075,0.067,0.026,0.039,0.045,0.054,0.160,0.275,0.297,0.214,0.787,0.064,0.006,0.099,0.000,0.019,0.025,0.044,0.199,0.801,0.090,0.151
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),166,0.260,0.138,0.136,0.163,0.093,0.079,0.036,0.045,0.050,0.059,0.187,0.292,0.279,0.183,0.781,0.069,0.009,0.085,0.000,0.027,0.029,0.057,0.245,0.755,0.117,0.181
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),119,0.331,0.166,0.131,0.154,0.073,0.054,0.027,0.030,0.034,0.093,0.184,0.260,0.282,0.181,0.712,0.121,0.008,0.096,0.000,0.032,0.031,0.070,0.211,0.789,0.105,0.152
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1074,0.320,0.187,0.126,0.157,0.090,0.048,0.025,0.028,0.019,0.159,0.267,0.287,0.197,0.090,0.540,0.292,0.026,0.051,0.001,0.048,0.042,0.094,0.263,0.737,0.148,0.187
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),36,0.317,0.193,0.131,0.153,0.092,0.046,0.026,0.025,0.017,0.180,0.264,0.284,0.188,0.084,0.535,0.295,0.027,0.049,0.000,0.052,0.042,0.100,0.259,0.741,0.143,0.188
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),168,0.362,0.197,0.119,0.145,0.077,0.042,0.020,0.025,0.013,0.169,0.294,0.288,0.176,0.073,0.501,0.337,0.029,0.047,0.001,0.043,0.042,0.086,0.244,0.756,0.144,0.167
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),405,0.324,0.184,0.125,0.158,0.090,0.047,0.024,0.028,0.020,0.165,0.268,0.289,0.191,0.087,0.524,0.305,0.027,0.051,0.001,0.049,0.043,0.093,0.273,0.727,0.152,0.195
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),299,0.301,0.183,0.127,0.160,0.095,0.051,0.029,0.030,0.024,0.142,0.262,0.286,0.211,0.099,0.574,0.266,0.023,0.053,0.001,0.043,0.040,0.085,0.257,0.743,0.142,0.182
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),167,0.305,0.187,0.133,0.163,0.093,0.051,0.026,0.027,0.015,0.163,0.250,0.284,0.205,0.098,0.559,0.262,0.025,0.049,0.000,0.062,0.043,0.118,0.266,0.734,0.152,0.193
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1142,0.321,0.186,0.125,0.157,0.090,0.048,0.025,0.028,0.020,0.159,0.269,0.287,0.196,0.089,0.539,0.292,0.026,0.052,0.001,0.047,0.043,0.092,0.264,0.736,0.147,0.188
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),31,0.338,0.189,0.130,0.148,0.085,0.045,0.024,0.023,0.018,0.182,0.265,0.273,0.192,0.088,0.541,0.295,0.033,0.043,0.000,0.044,0.044,0.087,0.249,0.751,0.143,0.178
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),197,0.370,0.194,0.117,0.145,0.077,0.042,0.019,0.024,0.012,0.169,0.300,0.291,0.171,0.069,0.488,0.351,0.031,0.047,0.001,0.040,0.042,0.083,0.246,0.754,0.146,0.168
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),422,0.319,0.185,0.123,0.158,0.091,0.048,0.025,0.029,0.022,0.167,0.270,0.288,0.190,0.085,0.520,0.305,0.027,0.055,0.001,0.048,0.044,0.092,0.279,0.721,0.154,0.199
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),337,0.296,0.181,0.130,0.161,0.096,0.051,0.029,0.030,0.026,0.139,0.258,0.287,0.215,0.101,0.584,0.257,0.022,0.053,0.001,0.043,0.040,0.085,0.257,0.743,0.140,0.184
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),156,0.301,0.191,0.132,0.163,0.095,0.052,0.025,0.027,0.014,0.163,0.251,0.286,0.203,0.097,0.560,0.262,0.023,0.049,0.000,0.061,0.045,0.119,0.262,0.738,0.148,0.194
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),857,0.324,0.185,0.126,0.157,0.091,0.048,0.025,0.027,0.017,0.158,0.264,0.285,0.200,0.093,0.547,0.291,0.024,0.045,0.001,0.051,0.041,0.097,0.257,0.743,0.146,0.182
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),48,0.297,0.195,0.135,0.158,0.094,0.049,0.031,0.026,0.015,0.189,0.260,0.284,0.186,0.081,0.524,0.294,0.020,0.049,0.001,0.072,0.040,0.133,0.279,0.721,0.154,0.202
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),86,0.369,0.206,0.105,0.139,0.074,0.039,0.021,0.029,0.018,0.168,0.281,0.281,0.187,0.083,0.550,0.309,0.026,0.041,0.000,0.036,0.038,0.074,0.207,0.793,0.119,0.139
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),363,0.323,0.181,0.129,0.161,0.093,0.048,0.023,0.025,0.017,0.157,0.263,0.289,0.198,0.093,0.539,0.298,0.024,0.045,0.001,0.051,0.042,0.098,0.269,0.731,0.152,0.193
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),201,0.324,0.185,0.120,0.156,0.092,0.050,0.026,0.028,0.019,0.151,0.271,0.283,0.204,0.091,0.543,0.296,0.027,0.047,0.001,0.044,0.042,0.085,0.249,0.751,0.145,0.173
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),159,0.306,0.177,0.136,0.161,0.093,0.052,0.027,0.030,0.018,0.155,0.250,0.276,0.215,0.104,0.575,0.257,0.022,0.044,0.000,0.061,0.041,0.114,0.262,0.738,0.149,0.187
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1722,0.332,0.184,0.137,0.147,0.083,0.051,0.029,0.021,0.016,0.187,0.260,0.266,0.193,0.094,0.494,0.287,0.030,0.049,0.001,0.088,0.051,0.158,0.332,0.668,0.198,0.232
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),67,0.387,0.192,0.132,0.126,0.072,0.039,0.026,0.015,0.011,0.233,0.263,0.256,0.168,0.080,0.496,0.265,0.038,0.037,0.002,0.111,0.051,0.190,0.318,0.682,0.204,0.218
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),325,0.376,0.189,0.136,0.132,0.068,0.043,0.025,0.017,0.014,0.204,0.267,0.264,0.181,0.084,0.458,0.310,0.033,0.041,0.001,0.102,0.055,0.178,0.342,0.658,0.212,0.234
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),617,0.319,0.181,0.137,0.151,0.088,0.055,0.030,0.022,0.017,0.177,0.258,0.274,0.196,0.095,0.511,0.281,0.029,0.052,0.000,0.078,0.049,0.142,0.331,0.669,0.194,0.234
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),469,0.310,0.182,0.140,0.153,0.089,0.054,0.031,0.023,0.018,0.177,0.258,0.263,0.202,0.100,0.505,0.282,0.026,0.052,0.000,0.084,0.051,0.152,0.328,0.672,0.193,0.232
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),245,0.330,0.185,0.135,0.148,0.082,0.050,0.031,0.022,0.017,0.193,0.256,0.262,0.193,0.096,0.490,0.284,0.032,0.049,0.001,0.094,0.050,0.169,0.330,0.670,0.201,0.232
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1830,0.323,0.182,0.139,0.150,0.085,0.052,0.030,0.022,0.017,0.183,0.259,0.269,0.194,0.095,0.499,0.284,0.030,0.051,0.001,0.085,0.050,0.152,0.332,0.668,0.197,0.234
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),62,0.417,0.193,0.127,0.118,0.063,0.034,0.025,0.013,0.010,0.241,0.258,0.254,0.166,0.081,0.495,0.273,0.041,0.037,0.002,0.101,0.051,0.180,0.302,0.698,0.196,0.206
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),370,0.374,0.190,0.137,0.134,0.069,0.043,0.024,0.016,0.013,0.205,0.269,0.267,0.178,0.081,0.452,0.312,0.034,0.044,0.001,0.102,0.055,0.177,0.344,0.656,0.213,0.237
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),659,0.305,0.178,0.141,0.155,0.091,0.057,0.031,0.024,0.018,0.174,0.260,0.274,0.195,0.097,0.519,0.276,0.029,0.054,0.000,0.074,0.048,0.136,0.336,0.664,0.193,0.239
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),512,0.301,0.181,0.141,0.158,0.091,0.055,0.032,0.023,0.018,0.172,0.256,0.265,0.204,0.103,0.512,0.278,0.025,0.053,0.001,0.081,0.050,0.147,0.327,0.673,0.191,0.231
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),227,0.322,0.181,0.134,0.155,0.085,0.050,0.031,0.023,0.019,0.183,0.251,0.265,0.201,0.100,0.503,0.273,0.031,0.055,0.001,0.088,0.049,0.160,0.322,0.678,0.195,0.226
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1352,0.354,0.186,0.136,0.138,0.075,0.048,0.028,0.020,0.015,0.195,0.260,0.264,0.190,0.091,0.478,0.301,0.031,0.043,0.001,0.094,0.052,0.168,0.330,0.670,0.201,0.228
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),76,0.326,0.191,0.148,0.142,0.091,0.047,0.026,0.018,0.011,0.221,0.274,0.253,0.173,0.079,0.495,0.260,0.032,0.038,0.000,0.123,0.052,0.203,0.344,0.656,0.216,0.242
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),184,0.397,0.187,0.136,0.124,0.060,0.040,0.025,0.016,0.015,0.205,0.272,0.252,0.180,0.091,0.456,0.313,0.032,0.031,0.001,0.110,0.057,0.193,0.335,0.665,0.213,0.223
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),488,0.353,0.185,0.131,0.140,0.077,0.052,0.028,0.019,0.015,0.182,0.252,0.274,0.200,0.092,0.496,0.298,0.029,0.045,0.001,0.080,0.051,0.149,0.315,0.685,0.191,0.217
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),356,0.346,0.186,0.137,0.141,0.077,0.048,0.029,0.021,0.015,0.190,0.263,0.261,0.195,0.091,0.471,0.309,0.030,0.046,0.000,0.092,0.052,0.164,0.337,0.663,0.203,0.235
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),246,0.347,0.187,0.140,0.139,0.077,0.046,0.028,0.021,0.015,0.213,0.257,0.259,0.179,0.092,0.472,0.297,0.035,0.043,0.000,0.101,0.052,0.182,0.341,0.659,0.207,0.242
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1646,0.256,0.183,0.159,0.175,0.090,0.051,0.029,0.033,0.024,0.138,0.202,0.276,0.259,0.125,0.663,0.178,0.017,0.050,0.000,0.050,0.042,0.103,0.219,0.781,0.122,0.151
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),63,0.251,0.170,0.160,0.174,0.098,0.049,0.035,0.035,0.028,0.118,0.203,0.265,0.268,0.146,0.708,0.148,0.015,0.054,0.000,0.036,0.039,0.085,0.209,0.791,0.112,0.147
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),339,0.272,0.192,0.173,0.172,0.078,0.041,0.021,0.034,0.017,0.141,0.184,0.282,0.273,0.120,0.686,0.167,0.016,0.044,0.000,0.046,0.041,0.098,0.174,0.826,0.100,0.114
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),574,0.246,0.180,0.155,0.178,0.096,0.054,0.032,0.034,0.025,0.138,0.207,0.276,0.257,0.122,0.656,0.182,0.016,0.054,0.000,0.051,0.041,0.102,0.237,0.763,0.131,0.165
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),417,0.261,0.186,0.153,0.172,0.090,0.054,0.030,0.029,0.025,0.141,0.207,0.276,0.249,0.127,0.651,0.184,0.017,0.050,0.000,0.055,0.043,0.108,0.226,0.774,0.126,0.156
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),254,0.256,0.175,0.155,0.175,0.092,0.057,0.031,0.032,0.027,0.136,0.208,0.273,0.256,0.127,0.653,0.182,0.020,0.049,0.000,0.052,0.044,0.106,0.233,0.767,0.130,0.163
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1732,0.256,0.184,0.159,0.174,0.091,0.052,0.029,0.032,0.023,0.139,0.202,0.276,0.258,0.125,0.659,0.181,0.017,0.050,0.000,0.051,0.042,0.104,0.221,0.779,0.124,0.152
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),51,0.254,0.161,0.167,0.172,0.093,0.045,0.036,0.040,0.032,0.111,0.188,0.257,0.282,0.162,0.722,0.139,0.018,0.045,0.000,0.037,0.039,0.083,0.182,0.818,0.097,0.123
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),397,0.270,0.196,0.174,0.170,0.076,0.041,0.021,0.034,0.018,0.140,0.186,0.280,0.272,0.122,0.687,0.166,0.016,0.044,0.000,0.046,0.041,0.099,0.175,0.825,0.101,0.115
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),597,0.243,0.179,0.155,0.179,0.099,0.056,0.032,0.034,0.023,0.138,0.208,0.275,0.257,0.122,0.649,0.188,0.016,0.055,0.000,0.050,0.042,0.102,0.242,0.758,0.136,0.169
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),457,0.258,0.185,0.152,0.173,0.092,0.056,0.030,0.029,0.025,0.141,0.206,0.277,0.248,0.128,0.650,0.185,0.017,0.050,0.000,0.056,0.042,0.108,0.231,0.769,0.128,0.160
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),231,0.261,0.175,0.152,0.172,0.093,0.058,0.031,0.031,0.027,0.144,0.210,0.270,0.250,0.126,0.637,0.191,0.022,0.049,0.000,0.055,0.046,0.114,0.241,0.759,0.136,0.168
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1354,0.262,0.184,0.157,0.174,0.089,0.049,0.029,0.032,0.024,0.141,0.204,0.277,0.254,0.124,0.662,0.177,0.016,0.051,0.000,0.053,0.041,0.106,0.220,0.780,0.122,0.152
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),81,0.256,0.177,0.138,0.176,0.109,0.055,0.037,0.028,0.024,0.131,0.239,0.278,0.232,0.120,0.672,0.166,0.012,0.071,0.001,0.039,0.039,0.090,0.259,0.741,0.139,0.188
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),173,0.289,0.180,0.166,0.178,0.081,0.039,0.019,0.033,0.015,0.157,0.186,0.282,0.264,0.111,0.651,0.193,0.016,0.049,0.000,0.049,0.042,0.102,0.174,0.826,0.100,0.117
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),523,0.256,0.184,0.159,0.175,0.090,0.049,0.028,0.034,0.025,0.140,0.204,0.274,0.258,0.124,0.664,0.173,0.018,0.051,0.000,0.055,0.039,0.108,0.224,0.776,0.122,0.155
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),327,0.272,0.194,0.153,0.168,0.085,0.047,0.028,0.028,0.025,0.144,0.204,0.277,0.247,0.128,0.655,0.182,0.017,0.046,0.000,0.057,0.043,0.116,0.216,0.784,0.123,0.146
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),251,0.241,0.176,0.158,0.178,0.093,0.059,0.034,0.033,0.028,0.130,0.209,0.279,0.256,0.126,0.673,0.173,0.014,0.051,0.000,0.049,0.040,0.096,0.237,0.763,0.130,0.168
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3408,0.231,0.169,0.150,0.173,0.108,0.068,0.036,0.035,0.030,0.137,0.217,0.268,0.250,0.128,0.640,0.174,0.020,0.054,0.001,0.068,0.043,0.125,0.277,0.723,0.153,0.197
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),269,0.226,0.176,0.155,0.170,0.108,0.067,0.035,0.033,0.030,0.150,0.210,0.261,0.247,0.132,0.645,0.168,0.017,0.067,0.001,0.060,0.042,0.115,0.275,0.725,0.151,0.198
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),392,0.221,0.178,0.171,0.175,0.104,0.066,0.030,0.031,0.024,0.142,0.213,0.258,0.264,0.123,0.642,0.158,0.021,0.052,0.001,0.083,0.043,0.146,0.261,0.739,0.146,0.182
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),988,0.222,0.164,0.146,0.176,0.115,0.071,0.038,0.036,0.032,0.135,0.225,0.272,0.243,0.125,0.649,0.166,0.019,0.053,0.001,0.069,0.043,0.127,0.290,0.710,0.159,0.207
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),951,0.235,0.167,0.149,0.173,0.106,0.067,0.036,0.036,0.031,0.137,0.215,0.267,0.251,0.130,0.634,0.180,0.021,0.053,0.001,0.067,0.044,0.125,0.283,0.717,0.156,0.201
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),807,0.240,0.173,0.146,0.170,0.105,0.067,0.036,0.034,0.029,0.135,0.214,0.272,0.249,0.130,0.637,0.186,0.018,0.054,0.001,0.062,0.042,0.118,0.264,0.736,0.147,0.187
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3231,0.232,0.169,0.152,0.173,0.107,0.068,0.035,0.035,0.029,0.140,0.218,0.267,0.249,0.126,0.634,0.178,0.020,0.054,0.001,0.069,0.044,0.128,0.278,0.722,0.154,0.197
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),165,0.258,0.190,0.159,0.160,0.096,0.058,0.027,0.026,0.026,0.189,0.205,0.243,0.236,0.127,0.601,0.187,0.019,0.078,0.001,0.070,0.044,0.132,0.269,0.731,0.150,0.198
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),446,0.216,0.178,0.175,0.175,0.104,0.067,0.030,0.031,0.024,0.138,0.212,0.260,0.267,0.123,0.651,0.153,0.020,0.052,0.001,0.081,0.042,0.143,0.257,0.743,0.144,0.179
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),990,0.224,0.164,0.145,0.177,0.116,0.071,0.037,0.036,0.030,0.136,0.226,0.276,0.240,0.122,0.642,0.171,0.019,0.054,0.001,0.069,0.044,0.126,0.295,0.705,0.162,0.210
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),923,0.237,0.166,0.150,0.173,0.104,0.068,0.036,0.036,0.030,0.139,0.217,0.264,0.251,0.129,0.629,0.180,0.023,0.053,0.001,0.069,0.045,0.127,0.285,0.715,0.157,0.203
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),707,0.246,0.172,0.150,0.168,0.102,0.065,0.035,0.034,0.028,0.139,0.213,0.268,0.249,0.131,0.622,0.197,0.019,0.054,0.001,0.064,0.043,0.121,0.259,0.741,0.147,0.182
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3431,0.230,0.170,0.146,0.172,0.110,0.068,0.037,0.035,0.032,0.132,0.217,0.268,0.251,0.132,0.647,0.172,0.018,0.055,0.001,0.065,0.042,0.122,0.275,0.725,0.151,0.194
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),522,0.207,0.165,0.150,0.177,0.119,0.073,0.040,0.037,0.032,0.121,0.217,0.277,0.252,0.133,0.671,0.157,0.016,0.058,0.001,0.055,0.042,0.104,0.281,0.719,0.154,0.198
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),205,0.247,0.178,0.159,0.167,0.097,0.063,0.030,0.031,0.028,0.167,0.221,0.246,0.243,0.123,0.575,0.198,0.026,0.054,0.001,0.099,0.047,0.169,0.282,0.718,0.153,0.201
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),926,0.228,0.168,0.144,0.175,0.107,0.069,0.038,0.036,0.035,0.129,0.217,0.265,0.254,0.135,0.659,0.160,0.019,0.054,0.001,0.065,0.042,0.124,0.264,0.736,0.145,0.187
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),933,0.229,0.169,0.147,0.170,0.111,0.067,0.038,0.037,0.032,0.132,0.213,0.272,0.251,0.132,0.640,0.180,0.018,0.055,0.001,0.064,0.042,0.121,0.280,0.720,0.155,0.199
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),844,0.242,0.173,0.143,0.167,0.108,0.067,0.036,0.033,0.031,0.134,0.219,0.268,0.248,0.131,0.646,0.178,0.018,0.055,0.001,0.062,0.040,0.119,0.275,0.725,0.151,0.195
Bus - StL Bus Index,Origin,N/A,27053007801,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),943,0.256,0.201,0.157,0.161,0.091,0.057,0.028,0.027,0.022,0.212,0.236,0.238,0.207,0.107,0.550,0.234,0.022,0.059,0.000,0.088,0.047,0.168,0.321,0.679,0.174,0.231
