Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5-6 mi (percent),Trip Length 6-7 mi (percent),Trip Length 7-8 mi (percent),Trip Length 8-9 mi (percent),Trip Length 9-10 mi (percent),Trip Length 10+ mi (percent)
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),657,1328,1328,3.7,3.7,0.056,0.215,0.209,0.158,0.106,0.068,0.047,0.032,0.024,0.019,0.009,0.006,0.051,0.171,0.265,0.175,0.102,0.088,0.052,0.036,0.023,0.023,0.009,0.056
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),12,1076,1076,3.0,3.0,0.045,0.227,0.320,0.091,0.091,0.045,0.091,0.045,0.000,0.045,0.000,0.000,0.000,0.091,0.273,0.273,0.136,0.091,0.000,0.000,0.091,0.045,0.000,0.000
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),178,1422,1422,3.4,3.4,0.031,0.197,0.202,0.169,0.123,0.077,0.051,0.029,0.029,0.020,0.009,0.017,0.046,0.151,0.288,0.169,0.117,0.106,0.040,0.046,0.020,0.014,0.009,0.040
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),199,1243,1243,3.4,3.4,0.084,0.210,0.206,0.176,0.094,0.056,0.033,0.036,0.023,0.023,0.010,0.003,0.046,0.193,0.287,0.145,0.115,0.071,0.059,0.033,0.023,0.023,0.003,0.048
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),171,1425,1425,4.4,4.4,0.039,0.201,0.226,0.150,0.093,0.072,0.069,0.039,0.021,0.015,0.006,0.003,0.066,0.168,0.220,0.180,0.087,0.084,0.057,0.048,0.018,0.033,0.021,0.084
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),97,1184,1184,3.4,3.4,0.074,0.280,0.180,0.127,0.122,0.069,0.021,0.016,0.026,0.016,0.016,0.000,0.053,0.175,0.265,0.228,0.074,0.095,0.058,0.005,0.026,0.016,0.000,0.058
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),590,1274,1274,3.7,3.7,0.094,0.237,0.199,0.155,0.074,0.046,0.050,0.022,0.030,0.015,0.011,0.006,0.061,0.118,0.278,0.196,0.113,0.103,0.039,0.037,0.033,0.013,0.011,0.059
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),37,1602,1602,4.6,4.6,0.118,0.206,0.237,0.088,0.059,0.029,0.088,0.029,0.029,0.029,0.000,0.000,0.088,0.088,0.266,0.176,0.206,0.088,0.029,0.000,0.000,0.000,0.000,0.147
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),53,1120,1120,3.0,3.0,0.063,0.268,0.188,0.167,0.083,0.063,0.063,0.000,0.021,0.021,0.021,0.000,0.042,0.083,0.269,0.250,0.167,0.063,0.042,0.063,0.042,0.021,0.000,0.000
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),216,1322,1322,3.9,3.9,0.081,0.228,0.188,0.147,0.071,0.061,0.041,0.036,0.046,0.020,0.015,0.005,0.061,0.132,0.259,0.188,0.112,0.091,0.041,0.056,0.015,0.010,0.015,0.081
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),166,1211,1211,3.4,3.4,0.077,0.233,0.219,0.194,0.065,0.052,0.045,0.013,0.019,0.006,0.006,0.013,0.058,0.123,0.265,0.187,0.116,0.135,0.045,0.032,0.039,0.013,0.006,0.039
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),119,1243,1243,3.8,3.8,0.148,0.258,0.185,0.130,0.093,0.009,0.056,0.019,0.019,0.009,0.009,0.000,0.065,0.111,0.341,0.204,0.056,0.102,0.028,0.009,0.065,0.019,0.019,0.046
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1074,1466,1466,4.0,4.0,0.045,0.191,0.205,0.135,0.095,0.069,0.059,0.038,0.035,0.024,0.017,0.018,0.069,0.111,0.293,0.184,0.115,0.055,0.046,0.034,0.031,0.029,0.023,0.079
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),36,1607,1607,4.3,4.3,0.042,0.253,0.218,0.084,0.042,0.076,0.059,0.025,0.042,0.042,0.008,0.008,0.101,0.126,0.302,0.168,0.126,0.034,0.059,0.017,0.025,0.025,0.017,0.101
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),168,1424,1424,3.6,3.6,0.051,0.233,0.216,0.126,0.082,0.046,0.043,0.035,0.032,0.014,0.023,0.023,0.076,0.149,0.357,0.151,0.096,0.037,0.023,0.023,0.027,0.027,0.034,0.076
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),405,1488,1488,3.8,3.8,0.049,0.192,0.193,0.134,0.093,0.074,0.057,0.040,0.041,0.028,0.013,0.015,0.071,0.113,0.304,0.179,0.115,0.052,0.052,0.037,0.034,0.034,0.018,0.062
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),299,1526,1526,4.6,4.6,0.031,0.160,0.193,0.144,0.114,0.075,0.069,0.044,0.037,0.029,0.019,0.020,0.065,0.099,0.234,0.201,0.111,0.058,0.052,0.041,0.032,0.033,0.029,0.110
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),167,1317,1317,3.7,3.7,0.053,0.191,0.246,0.145,0.092,0.070,0.063,0.026,0.015,0.011,0.018,0.015,0.055,0.088,0.302,0.206,0.140,0.077,0.039,0.031,0.026,0.015,0.013,0.063
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1142,1484,1484,4.0,4.0,0.046,0.185,0.212,0.141,0.084,0.072,0.057,0.038,0.033,0.023,0.017,0.018,0.074,0.110,0.299,0.190,0.113,0.052,0.042,0.028,0.029,0.029,0.023,0.085
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),31,1827,1827,4.4,4.4,0.033,0.249,0.200,0.050,0.017,0.100,0.067,0.050,0.050,0.067,0.017,0.000,0.100,0.100,0.299,0.183,0.167,0.050,0.067,0.017,0.017,0.000,0.017,0.083
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),197,1441,1441,3.7,3.7,0.054,0.226,0.236,0.136,0.067,0.044,0.036,0.026,0.028,0.018,0.026,0.023,0.080,0.167,0.350,0.157,0.085,0.033,0.018,0.018,0.021,0.033,0.031,0.087
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),422,1473,1473,3.7,3.7,0.050,0.200,0.203,0.134,0.077,0.077,0.056,0.040,0.035,0.023,0.011,0.016,0.078,0.108,0.324,0.191,0.119,0.049,0.046,0.026,0.032,0.030,0.016,0.059
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),337,1583,1583,4.7,4.7,0.034,0.141,0.188,0.151,0.108,0.076,0.070,0.048,0.036,0.031,0.021,0.021,0.075,0.094,0.233,0.199,0.103,0.054,0.052,0.036,0.034,0.037,0.034,0.124
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),156,1288,1288,3.7,3.7,0.050,0.175,0.261,0.158,0.089,0.083,0.056,0.026,0.023,0.003,0.013,0.013,0.050,0.076,0.314,0.215,0.142,0.079,0.036,0.026,0.023,0.010,0.010,0.069
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),857,1421,1421,3.8,3.8,0.047,0.220,0.182,0.146,0.106,0.056,0.053,0.038,0.032,0.026,0.021,0.017,0.056,0.118,0.293,0.159,0.131,0.065,0.049,0.036,0.032,0.029,0.023,0.065
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),48,1263,1263,4.2,4.2,0.047,0.301,0.256,0.093,0.047,0.070,0.047,0.000,0.023,0.023,0.000,0.023,0.070,0.140,0.349,0.116,0.093,0.023,0.047,0.023,0.023,0.070,0.023,0.093
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),86,1366,1366,3.3,3.3,0.050,0.261,0.138,0.113,0.125,0.050,0.025,0.075,0.050,0.000,0.025,0.025,0.063,0.150,0.359,0.113,0.113,0.063,0.025,0.013,0.063,0.013,0.050,0.038
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),363,1571,1571,4.2,4.2,0.051,0.178,0.162,0.141,0.120,0.057,0.057,0.048,0.048,0.033,0.021,0.018,0.066,0.114,0.253,0.150,0.123,0.066,0.063,0.054,0.036,0.039,0.027,0.075
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),201,1267,1267,3.6,3.6,0.027,0.254,0.211,0.178,0.092,0.070,0.038,0.027,0.022,0.016,0.011,0.016,0.038,0.114,0.312,0.184,0.157,0.076,0.038,0.027,0.016,0.011,0.011,0.054
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),159,1348,1348,3.6,3.6,0.065,0.223,0.194,0.151,0.101,0.036,0.079,0.022,0.000,0.036,0.036,0.007,0.050,0.108,0.301,0.187,0.137,0.065,0.043,0.022,0.029,0.029,0.014,0.065
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1722,1425,1425,3.6,3.6,0.066,0.190,0.187,0.140,0.097,0.067,0.059,0.039,0.034,0.021,0.023,0.016,0.061,0.126,0.312,0.169,0.104,0.073,0.051,0.034,0.028,0.026,0.017,0.060
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),67,1506,1506,3.8,3.8,0.050,0.185,0.237,0.099,0.108,0.077,0.068,0.036,0.018,0.009,0.036,0.014,0.063,0.072,0.399,0.149,0.104,0.072,0.032,0.041,0.027,0.027,0.005,0.072
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),325,1466,1466,3.6,3.6,0.078,0.174,0.158,0.141,0.095,0.070,0.057,0.051,0.041,0.029,0.030,0.019,0.057,0.140,0.311,0.142,0.103,0.067,0.076,0.025,0.032,0.028,0.019,0.057
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),617,1398,1398,3.6,3.6,0.074,0.201,0.180,0.147,0.099,0.059,0.057,0.031,0.028,0.024,0.024,0.016,0.060,0.130,0.305,0.182,0.112,0.073,0.042,0.033,0.022,0.024,0.016,0.061
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),469,1516,1516,3.9,3.9,0.045,0.177,0.196,0.129,0.099,0.071,0.070,0.043,0.043,0.016,0.019,0.018,0.074,0.122,0.301,0.166,0.101,0.074,0.048,0.039,0.032,0.026,0.020,0.071
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),245,1242,1242,3.3,3.3,0.078,0.204,0.212,0.150,0.092,0.071,0.041,0.040,0.026,0.016,0.017,0.012,0.041,0.119,0.339,0.181,0.093,0.078,0.048,0.038,0.030,0.026,0.015,0.033
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1830,1462,1462,3.7,3.7,0.067,0.180,0.189,0.132,0.098,0.067,0.059,0.044,0.036,0.023,0.024,0.016,0.065,0.128,0.307,0.168,0.102,0.070,0.051,0.036,0.026,0.029,0.016,0.067
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),62,1630,1630,4.1,4.1,0.041,0.182,0.273,0.066,0.124,0.066,0.074,0.041,0.000,0.008,0.025,0.017,0.083,0.066,0.420,0.124,0.116,0.083,0.033,0.017,0.025,0.025,0.008,0.083
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),370,1493,1493,3.7,3.7,0.081,0.164,0.163,0.139,0.098,0.061,0.055,0.055,0.044,0.026,0.033,0.025,0.056,0.146,0.285,0.150,0.105,0.070,0.077,0.025,0.033,0.029,0.014,0.066
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),659,1419,1419,3.6,3.6,0.073,0.203,0.178,0.141,0.098,0.064,0.053,0.030,0.029,0.026,0.025,0.015,0.065,0.135,0.302,0.178,0.110,0.069,0.039,0.036,0.024,0.031,0.014,0.062
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),512,1569,1569,4.1,4.1,0.042,0.167,0.193,0.122,0.101,0.071,0.075,0.050,0.046,0.020,0.019,0.014,0.080,0.119,0.303,0.162,0.097,0.065,0.051,0.041,0.026,0.026,0.023,0.087
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),227,1249,1249,3.3,3.3,0.086,0.174,0.238,0.133,0.086,0.074,0.043,0.050,0.029,0.018,0.020,0.011,0.038,0.111,0.326,0.196,0.081,0.081,0.052,0.050,0.023,0.034,0.014,0.032
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1352,1306,1306,3.4,3.4,0.062,0.217,0.192,0.158,0.100,0.061,0.052,0.030,0.025,0.016,0.023,0.016,0.048,0.121,0.331,0.164,0.117,0.084,0.043,0.024,0.030,0.022,0.021,0.043
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),76,1234,1234,2.9,2.9,0.087,0.188,0.265,0.101,0.087,0.043,0.072,0.043,0.029,0.014,0.043,0.014,0.014,0.101,0.422,0.174,0.116,0.072,0.029,0.029,0.014,0.014,0.000,0.029
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),184,1359,1359,3.3,3.3,0.048,0.224,0.145,0.163,0.114,0.102,0.036,0.042,0.024,0.024,0.018,0.000,0.060,0.102,0.430,0.102,0.102,0.066,0.048,0.018,0.030,0.030,0.042,0.030
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),488,1359,1359,3.8,3.8,0.070,0.190,0.203,0.161,0.104,0.050,0.057,0.027,0.023,0.020,0.027,0.014,0.054,0.129,0.288,0.184,0.120,0.079,0.048,0.025,0.025,0.016,0.027,0.059
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),356,1314,1314,3.4,3.4,0.059,0.224,0.194,0.141,0.088,0.063,0.063,0.028,0.028,0.006,0.022,0.028,0.056,0.131,0.302,0.163,0.116,0.100,0.034,0.028,0.041,0.028,0.016,0.041
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),246,1170,1170,3.0,3.0,0.054,0.253,0.186,0.190,0.104,0.054,0.032,0.027,0.027,0.018,0.014,0.014,0.027,0.109,0.361,0.172,0.122,0.086,0.045,0.018,0.032,0.023,0.005,0.027
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1646,1377,1377,3.6,3.6,0.049,0.189,0.204,0.152,0.116,0.067,0.049,0.035,0.026,0.025,0.020,0.013,0.055,0.125,0.314,0.184,0.105,0.073,0.045,0.031,0.025,0.022,0.016,0.060
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),63,1261,1261,3.6,3.6,0.078,0.219,0.205,0.112,0.112,0.049,0.068,0.020,0.044,0.015,0.015,0.024,0.039,0.141,0.274,0.200,0.117,0.068,0.049,0.034,0.024,0.010,0.024,0.059
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),339,1367,1367,3.6,3.6,0.034,0.193,0.190,0.167,0.136,0.078,0.040,0.024,0.023,0.023,0.021,0.022,0.049,0.093,0.330,0.205,0.107,0.080,0.027,0.024,0.026,0.018,0.010,0.080
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),574,1380,1380,3.6,3.6,0.056,0.179,0.217,0.150,0.110,0.070,0.044,0.038,0.023,0.025,0.021,0.013,0.054,0.128,0.313,0.181,0.112,0.072,0.042,0.028,0.030,0.024,0.016,0.054
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),417,1470,1470,3.7,3.7,0.043,0.175,0.185,0.152,0.115,0.065,0.064,0.045,0.030,0.029,0.022,0.008,0.067,0.134,0.308,0.156,0.095,0.075,0.069,0.038,0.022,0.025,0.019,0.059
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),254,1258,1258,3.4,3.4,0.057,0.225,0.225,0.145,0.101,0.057,0.042,0.029,0.024,0.024,0.014,0.007,0.050,0.140,0.314,0.207,0.098,0.065,0.037,0.032,0.019,0.021,0.018,0.049
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1732,1395,1395,3.7,3.7,0.045,0.186,0.200,0.156,0.111,0.071,0.048,0.039,0.027,0.027,0.020,0.013,0.057,0.117,0.310,0.189,0.101,0.077,0.045,0.028,0.025,0.027,0.015,0.066
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),51,1300,1300,3.8,3.8,0.101,0.231,0.172,0.111,0.071,0.061,0.071,0.030,0.061,0.010,0.000,0.010,0.071,0.141,0.254,0.222,0.121,0.061,0.040,0.040,0.010,0.010,0.000,0.101
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),397,1418,1418,3.8,3.8,0.023,0.170,0.191,0.177,0.131,0.090,0.042,0.026,0.023,0.028,0.024,0.022,0.053,0.075,0.308,0.222,0.113,0.085,0.026,0.023,0.022,0.024,0.012,0.090
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),597,1381,1381,3.6,3.6,0.052,0.190,0.220,0.141,0.105,0.068,0.046,0.041,0.022,0.026,0.021,0.014,0.054,0.132,0.307,0.195,0.098,0.073,0.036,0.027,0.034,0.030,0.013,0.055
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),457,1469,1469,3.7,3.7,0.035,0.169,0.178,0.157,0.123,0.070,0.066,0.048,0.032,0.027,0.021,0.008,0.066,0.125,0.307,0.148,0.098,0.085,0.077,0.035,0.023,0.025,0.018,0.059
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),231,1261,1261,3.6,3.6,0.073,0.227,0.208,0.164,0.080,0.047,0.027,0.040,0.029,0.031,0.016,0.009,0.049,0.131,0.334,0.193,0.086,0.060,0.040,0.024,0.018,0.029,0.027,0.058
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1354,1312,1312,3.4,3.4,0.065,0.198,0.213,0.151,0.112,0.061,0.049,0.030,0.026,0.020,0.016,0.010,0.049,0.156,0.305,0.174,0.106,0.075,0.051,0.035,0.022,0.013,0.016,0.047
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),81,1151,1151,3.3,3.3,0.056,0.225,0.268,0.099,0.099,0.042,0.085,0.014,0.028,0.028,0.028,0.028,0.000,0.169,0.297,0.155,0.113,0.070,0.042,0.028,0.042,0.014,0.056,0.014
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),173,1340,1340,3.3,3.3,0.071,0.231,0.162,0.156,0.117,0.071,0.045,0.019,0.032,0.019,0.019,0.006,0.052,0.175,0.340,0.136,0.078,0.104,0.032,0.026,0.058,0.000,0.006,0.045
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),523,1327,1327,3.5,3.5,0.060,0.177,0.213,0.179,0.117,0.062,0.034,0.036,0.030,0.021,0.013,0.009,0.049,0.130,0.304,0.187,0.121,0.077,0.055,0.026,0.019,0.013,0.019,0.049
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),327,1365,1365,3.6,3.6,0.078,0.201,0.203,0.133,0.099,0.065,0.051,0.037,0.017,0.027,0.017,0.014,0.058,0.180,0.303,0.160,0.085,0.054,0.061,0.048,0.014,0.024,0.017,0.054
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),251,1240,1240,3.3,3.3,0.058,0.212,0.250,0.128,0.119,0.053,0.066,0.022,0.022,0.004,0.013,0.004,0.049,0.159,0.293,0.195,0.119,0.080,0.044,0.044,0.009,0.009,0.004,0.044
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3408,1531,1531,4.3,4.3,0.040,0.138,0.183,0.159,0.132,0.084,0.061,0.041,0.037,0.026,0.019,0.015,0.065,0.084,0.204,0.221,0.146,0.088,0.061,0.043,0.029,0.024,0.018,0.082
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),269,1535,1535,4.9,4.9,0.041,0.120,0.218,0.180,0.118,0.065,0.068,0.032,0.031,0.018,0.016,0.020,0.073,0.066,0.169,0.272,0.133,0.093,0.053,0.027,0.016,0.021,0.017,0.133
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),392,1666,1666,4.6,4.6,0.035,0.101,0.164,0.168,0.138,0.095,0.064,0.045,0.045,0.027,0.024,0.014,0.080,0.063,0.166,0.254,0.168,0.067,0.061,0.035,0.028,0.022,0.028,0.108
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),988,1509,1509,4.1,4.1,0.053,0.156,0.190,0.141,0.125,0.078,0.056,0.038,0.032,0.028,0.018,0.017,0.068,0.095,0.221,0.211,0.138,0.079,0.069,0.047,0.034,0.023,0.017,0.066
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),951,1562,1562,4.1,4.1,0.035,0.136,0.158,0.163,0.136,0.098,0.063,0.045,0.040,0.027,0.020,0.012,0.067,0.090,0.218,0.209,0.144,0.089,0.054,0.049,0.029,0.026,0.016,0.076
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),807,1455,1455,4.3,4.3,0.030,0.143,0.207,0.164,0.139,0.076,0.059,0.039,0.035,0.024,0.017,0.016,0.051,0.078,0.197,0.221,0.150,0.107,0.060,0.040,0.029,0.022,0.018,0.078
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3231,1545,1545,4.2,4.2,0.037,0.134,0.185,0.152,0.137,0.090,0.060,0.041,0.039,0.025,0.018,0.016,0.066,0.080,0.203,0.219,0.155,0.087,0.060,0.044,0.027,0.025,0.020,0.080
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),165,1549,1549,4.8,4.8,0.050,0.119,0.225,0.169,0.128,0.059,0.044,0.025,0.047,0.016,0.009,0.025,0.084,0.047,0.178,0.321,0.103,0.097,0.047,0.016,0.013,0.022,0.025,0.131
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),446,1687,1687,4.7,4.7,0.024,0.092,0.162,0.159,0.155,0.107,0.063,0.050,0.047,0.029,0.023,0.014,0.075,0.059,0.148,0.249,0.183,0.067,0.061,0.041,0.023,0.024,0.032,0.113
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),990,1544,1544,4.1,4.1,0.048,0.150,0.190,0.141,0.126,0.086,0.055,0.036,0.036,0.028,0.017,0.017,0.070,0.089,0.213,0.213,0.147,0.085,0.071,0.043,0.033,0.024,0.016,0.066
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),923,1606,1606,4.1,4.1,0.033,0.127,0.160,0.160,0.131,0.098,0.068,0.049,0.042,0.028,0.024,0.013,0.067,0.089,0.214,0.207,0.158,0.084,0.051,0.053,0.025,0.029,0.017,0.073
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),707,1378,1378,4.1,4.1,0.033,0.151,0.210,0.148,0.151,0.084,0.061,0.035,0.033,0.017,0.012,0.017,0.048,0.079,0.211,0.202,0.156,0.103,0.061,0.045,0.027,0.022,0.018,0.076
